Link,Review Count,Rating Count,Rating,Error
https://www.bestbuy.com/site/shark-stratos-upright-vacuum-with-duoclean-powerfins-hairpro-self-cleaning-brushroll-odor-neutralizer-technology-navy/6514610.p?skuId=6514610,1042.0,1042.0,4.7,
https://www.bestbuy.com/site/shark-powerdetect-upright-vacuum-with-duoclean-detect-technology-self-cleaning-brushroll-and-xl-dustcup-eggplant/6583547.p?skuId=6583547,331.0,331.0,4.7,
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-black/JXJVXGFJST,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-cranberry-red/JXJVXGFJSP,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-forest-green/JXJVXGF776,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-denim-blue/JXJVXGF7JJ,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-passion-fruit-purple/JXJVXGF77Z?,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-white/JXJVXGFJS2?,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-cool-gray/JXJVXL7TJZ?utm_source=chatgpt.com,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-cream/JXJVXL7WW4?utm_source=chatgpt.com,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-sea-glass/JXJVXL7WK2?utm_source=chatgpt.com,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-dusty-pink/JXJVXL7WKP,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-platinum-silver/JXJVXL7WT5/sku/6595000,246.0,246.0,4.8,
https://www.bestbuy.com/click/-/6001401/pdp,1505.0,1505.0,4.8,
https://www.bestbuy.com/product/ninja-professional-plus-blender-duo-with-auto-iq-stainless-steel/JXJVXGKV7H,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/ninja-professional-plus-kitchen-system-with-auto-iq-2-24oz-single-serve-cups-black-stainless-steel/6395884.p?skuId=6395884,2235.0,2235.0,4.8,
https://www.bestbuy.com/product/ninja-foodi-power-mixer-system-5-speed-hand-blender-and-hand-mixer-combo-with-3-cup-blending-vessel-black/JXJVXG4VTG,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/shark-powerdetect-ultra-light-corded-stick-vacuum-with-duoclean-detect-technology-and-self-cleaning-brushroll-eggplant/6599393.p?skuId=6599393,77.0,77.0,4.8,
https://www.bestbuy.com/site/shark-navigator-adv-corded-bagless-multi-surface-lift-away-upright-vacuum-cleaner-aeonium/6607634.p?skuId=6607634,14.0,14.0,4.5,
https://www.bestbuy.com/site/shark-rotator-pet-lift-away-adv-upright-vacuum-with-duoclean-powerfins-hairpro-and-odor-neutralizer-technology-wine-purple/6549770.p?skuId=6549770,251.0,251.0,4.7,
https://www.bestbuy.com/site/shark-detect-pro-lift-away-adv-bagless-upright-vacuum-with-duoclean-detect-anti-allergen-and-odor-neutralizer-technology-evergreen/6628927.p?skuId=6628927,149.0,149.0,4.8,
https://www.bestbuy.com/product/ninja-professional-12-cup-xl-food-processor-platinum-silver/JXJVXG4H8K,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/shark-navigator-lift-away-deluxe-upright-vacuum-with-anti-allergen-complete-seal-blue/7775211.p?skuId=7775211,7830.0,7830.0,4.6,
https://www.bestbuy.com/product/shark-navigator-robot-vacuum-with-smartpath-navigation-and-self-cleaning-brushroll-steel-grey/JXJVXLJWY4,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/shark-matrix-self-empty-robot-vacuum-with-bagless-45-day-capacity-base-self-cleaning-brushroll-precision-mapping-black/6629485.p?skuId=6629485,41.0,41.0,4.3,
https://www.bestbuy.com/site/shark-matrix-plus-2-in-1-robot-vacuum-mop-with-sonic-mopping-matrix-clean-home-mapping-hepa-bagless-self-empty-wifi-black/6514530.p?skuId=6514530,1158.0,1158.0,4.2,
https://www.bestbuy.com/product/sharkstratos2in1robotvacuummopwith25handsfreefeaturesnevertouchselfcleaningbasewhite/JXJVXLCHYR,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/product/shark-powerdetect-2-in-1-robot-vacuum-and-mop-with-nevertouch-pro-base-white/JXJVXL2TPG?,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/shark-powerdetect-self-empty-robot-vacuum-with-neverstuck-tech-hepa-bagless-base-advanced-object-detect-wifi-black/6549765.p?skuId=6549765,173.0,173.0,4.4,
https://www.bestbuy.com/site/shark-robot-vacuum-mop-powerdetect-nevertouch-combo-self-emptying-self-refilling-60-day-debris-capacity-with-pad-dry-gaia-grey/6599391.p?skuId=6599391,133.0,133.0,4.4,
https://www.bestbuy.com/site/shark-robot-vacuum-mop-powerdetect-nevertouch-pro-combo-self-emptying-self-refilling-with-self-clean-pad-wash-dry-black/6599392.p?skuId=6599392,315.0,315.0,4.1,
https://www.bestbuy.com/site/ninja-flip-toaster-oven-air-fryer-gray/6582907.p?skuId=6582907,365.0,365.0,4.7,
https://www.bestbuy.com/site/ninja-detect-power-blender-pro-personal-single-serve-blendsense-technology-1800pw-72-oz-pitcher-to-go-cups-black/6551493.p?skuId=6551493,164.0,164.0,4.8,
https://www.bestbuy.com/site/ninja-detect-kitchen-system-power-blender-food-processor-pro-with-24-oz-to-go-cup-and-blendsense-technology-black/6553140.p?skuId=6553140,502.0,502.0,4.8,
https://www.bestbuy.com/product/shark-navigator-robot-vacuum-self-empty-base-gray/JXJVXLJPRR,,,,Could not extract skuId from the given BestBuy link.
https://www.bestbuy.com/site/shark-rotator-with-powerfins-hairpro-and-odor-neutralizer-technology-upright-vacuum-charcoal/6530498.p?skuId=6530498,898.0,898.0,4.6,
