Name,Base SKU,SKU,Link,Region
Shark Stratos DuoClean,AZ3000,AZ3002,https://www.bestbuy.com/site/shark-stratos-upright-vacuum-with-duoclean-powerfins-hairpro-self-cleaning-brushroll-odor-neutralizer-technology-navy/6514610.p?skuId=6514610,US
Shark Power Detect Upright,AZ4000,AZ4002,https://www.bestbuy.com/site/shark-powerdetect-upright-vacuum-with-duoclean-detect-technology-self-cleaning-brushroll-and-xl-dustcup-eggplant/6583547.p?skuId=6583547,US
Ninja Portable Blender,BC100,BC151BK,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-black/JXJVXGFJST,US
Ninja Portable Blender,BC100,BC151CR,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-cranberry-red/JXJVXGFJSP,US
Ninja Portable Blender,BC100,BC151EM,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-forest-green/JXJVXGF776,US
Ninja Portable Blender,BC100,BC151NV,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-denim-blue/JXJVXGF7JJ,US
Ninja Portable Blender,BC100,BC151PR,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-passion-fruit-purple/JXJVXGF77Z?,US
Ninja Portable Blender,BC100,BC151WH,https://www.bestbuy.com/product/ninja-blast-18-oz-portable-blender-white/JXJVXGFJS2?,US
Ninja Blast Max Portable Blender,BC200,BC251GY,https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-cool-gray/JXJVXL7TJZ?utm_source=chatgpt.com,US
Ninja Blast Max Portable Blender,BC200,BC251IV,https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-cream/JXJVXL7WW4?utm_source=chatgpt.com,US
Ninja Blast Max Portable Blender,BC200,BC251MT,https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-sea-glass/JXJVXL7WK2?utm_source=chatgpt.com,US
Ninja Blast Max Portable Blender,BC200,BC251PK,https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-dusty-pink/JXJVXL7WKP,US
Ninja Blast Max Portable Blender,BC200,BC251SL,https://www.bestbuy.com/product/ninja-blast-max-portable-blender-with-22oz-twist-go-vessel-platinum-silver/JXJVXL7WT5/sku/6595000,US
Ninja Blender,BL610,BL621,https://www.bestbuy.com/click/-/6001401/pdp,US
Ninja Professional Plus Blender DUO with Auto-iQ,BN750,BN751,https://www.bestbuy.com/product/ninja-professional-plus-blender-duo-with-auto-iq-stainless-steel/JXJVXGKV7H,US
Ninja Professional Plus Kitchen System,BN800,BN801,https://www.bestbuy.com/site/ninja-professional-plus-kitchen-system-with-auto-iq-2-24oz-single-serve-cups-black-stainless-steel/6395884.p?skuId=6395884,US
Ninja Foodi Power Mixer System,CI100,CI101,https://www.bestbuy.com/product/ninja-foodi-power-mixer-system-5-speed-hand-blender-and-hand-mixer-combo-with-3-cup-blending-vessel-black/JXJVXG4VTG,US
